BSCA	I am good at resisting temptation	Not at all like me/A little bit like me/Somewhat like me/Mostly like me/Very much like me
BSCB	I find it hard to break bad habits	Not at all like me/A little bit like me/Somewhat like me/Mostly like me/Very much like me
BSCC	I wish I had more self-control	Not at all like me/A little bit like me/Somewhat like me/Mostly like me/Very much like me
BSCD	People would say that I have strong self-control	Not at all like me/A little bit like me/Somewhat like me/Mostly like me/Very much like me
OPPO	None of the political parties would do anything to benefit me	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
OPJO	Having almost any job is better than being unemployed	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
OPCH	Couples who have children should not separate	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
OPAB	All women should have the right to choose to have an abortion if they wish	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
OPRA	I would not mind if a family from another race moved in next door to me	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
OPRE	I would not mind if a family from another religion moved in next door to me	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
OPEN	Preserving the environment is more important than any other political issue today	Strongly agree/Agree/Neither agree or disagree/Disagree/Strongly disagree
DISC	Go to a party, dance, house party or nightclub?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
THEA	Go to the theatre (for example to see a play, pantomime or opera)?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
SPOR	Go to watch live sport (for example at a stadium)?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
BAND	Sing in a choir or play in a band or orchestra?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
MGIG	Go to a live music concert or gig?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
RJOY	Read for enjoyment?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
ORGA	Go to youth clubs, explorer scouts, senior guides or other organised activities?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
LIBR	Go to a library?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
MUSM	Go to museums or galleries, visit a historic place or stately home?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
VOLW	Do voluntary or community work?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
POLM	Go to a political meeting, march, rally or demonstration?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
RLSV	Attend a religious service?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
SPFD	Spend time with friends (outside of school or work)?	Most days/At least once a week/At least once a month/Several times a year/Once a year or less/Never or almost never
TVHO	On a normal week day, how many hours do you spend <b>watching programmes or	films</b> e.g on a television or a device such as a laptop, tablet or smartphone? Please
remember to include time spent watching DVDs, Blu-rays etc.	None/Less than half an hour/Half an hour to less than 1 hour/1 hour to less than 2 hours/2 hours to less than 3 hours/3 hours to less than 5 hours/5 hours to less than 7 hours/7 hours to less than 10 hours/10 hours or more
